,title,link,KP_available
0,Toán học lớp 9 - Bài 1 - Căn bậc hai - YouTube,jjmh8wtwkC0&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=1,"['1.9.1.1.1.1', '1.9.1.1.1.2']"
1,Toán học lớp 9 - Bài 2 - Căn thức bậc hai và hằng đẳng thức - YouTube,SpVW7poI2JA&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=2,"['1.9.1.1.1.1', '1.9.1.1.1.2', '1.9.1.1.3.2', '1.9.1.1.3.3', '1.9.1.1.4.1', '1.9.2.2.1.1']"
2,Toán học lớp 9 - Bài 2 - Luyện tập - Căn thức bậc hai và hằng đẳng thức - YouTube,-AEngjU5DCQ&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=3,"['1.9.1.1.1.2', '1.9.1.1.4.1', '1.9.2.2.1.1', '1.9.3.2.1.1']"
3,Toán học lớp 9 - Bài 3 - Liên hệ giữa phép nhân và phép khai phương - YouTube,hwP_c4hccuc&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=4,"['1.9.1.1.3.2', '1.9.2.2.1.1']"
4,Toán học lớp 9 - Bài 3 - Luyện tập - Liên hệ giữa phép nhân và phép khai phương - YouTube,as6WDLUvoFA&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=5,['1.9.1.1.3.2']
5,Toán học lớp 9 - Bài 4 - Liên hệ giữa phép khai phương và phép chia - YouTube,4VroH399Znc&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=6,['1.9.1.1.3.2']
6,Toán học lớp 9 - Bài 4 - Luyện tập về liên hệ giữa phép khai phương và phép chia - YouTube,gzk0ZtQhA9Y&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=7,['1.9.1.1.3.2']
7,Toán học lớp 9 - Bài 5 - Bảng căn bậc hai - YouTube,ugcGWFQq2F0&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=8,"['1.9.1.1.1.1', '1.9.1.1.1.2', '1.9.3.1.1.1']"
8,Toán học lớp 9 - Bài 6 - Biến đổi đơn giản biểu thức chứa căn thức bậc hai - YouTube,fh6kzzY_aNk&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=9,['1.9.1.1.1.2']
9,Toán học lớp 9 - Bài 7 - Biến đổi đơn giản biểu thức chứa căn thức bậc hai - Tiết 1 - YouTube,k1OzJfxT2NA&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=10,['1.9.1.1.1.2']
10,Toán học lớp 9 - Bài 7 - Biến đổi đơn giản biểu thức chứa căn thức bậc hai - Tiết 2 - YouTube,XdiCRKNUNgI&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=11,['1.9.1.1.1.2']
11,Toán học lớp 9 -  Bài 7 - Biến đổi đơn giản biểu thức chứa căn thức bậc hai - Tiết 3 - YouTube,m1v4W7GoPGc&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=12,['1.9.1.1.1.2']
12,Toán học lớp 9 - Bài 8 - Rút gọn biểu thức chứa căn thức bậc hai - YouTube,dVP8QeAEdp0&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=13,"['1.9.1.1.1.1', '1.9.1.1.1.2']"
13,Toán học lớp 9 - Bài 8 - Rút gọn biểu thức chứa căn thức bậc hai (luyện tập 1) - YouTube,HQgR4BM6ZVQ&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=14,['1.9.1.1.1.2']
14,Toán học lớp 9 - Rút gọn biểu thức chứa căn thức bậc hai (luyện tập 2 ) - YouTube,EHmUm2mbYDU&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=15,"['1.9.1.1.1.2', '1.9.2.2.1.1']"
15,Toán học lớp 9 - Bài 8 - Rút gọn biểu thức chứa căn thức bậc hai (luyện tập 3) - YouTube,UAhY7rRF5f4&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=16,['1.9.1.1.1.2']
16,Toán học lớp 9 - Bài 9 - Căn bậc ba - YouTube,TQaohXdowaQ&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=17,"['1.9.1.1.1.1', '1.9.1.1.1.2', '1.9.3.1.1.1']"
17,Toán học lớp 9 - Ôn tập chương 1 ( tiết 1 ) - YouTube,Uceybto3i30&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=18,[]
18,Toán học lớp 9 - Ôn tập chương 1 - Đại số - ( tiết 2 ) - YouTube,XvrNktLxNvw&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=19,['1.9.2.2.1.1']
19,Toán học lớp 9 - Ôn tập chương 1 - Đại số ( tiết 3 ) - YouTube,ylWDD1Df-e8&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=20,['1.9.2.2.1.1']
20,Toán học lớp 9 - Bài 1 - Nhắc lại và bổ sung các khái niệm về hàm số - YouTube,MMnriNKzZ-w&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=21,[]
21,Toán học lớp 9 - Bài 1 - Nhắc lại và bổ sung các khái niệm về hàm số - Tiết 2 - YouTube,sKnKw99gCXg&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=22,[]
22,Toán học lớp 9 - Bài 1 - Nhắc lại và bổ sung các khái niệm về hàm số - luyện tập 1 - YouTube,PtMlatf0sVg&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=23,[]
23,Toán học lớp 9 - Bài 1 - Nhắc lại và bổ sung các khái niệm về hàm số - luyện tập 2 - YouTube,1MSpMQEvchE&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=24,[]
24,Toán học lớp 9 - Bài 2 - Hàm số bậc nhất - YouTube,FmTW7kyWrw8&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=25,"['1.9.1.1.1.1', '1.9.1.1.3.2']"
25,Toán học lớp 9 - Bài 2 - Hàm số bậc nhất - Luyện tập - YouTube,zurW3_lb_wo&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=26,[]
26,Toán học lớp 9 - Bài 3 - Đồ thị của hàm số y = ax + b - Tiết 1 - YouTube,D3xCm1WrqFI&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=27,"['1.9.1.1.1.2', '1.9.1.1.2.1']"
27,Toán học lớp 9 - Bài 3 - Đồ thị hàm số y = ax + b ( tiết 2 ) - YouTube,ExjQE0t-sGs&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=28,['1.9.1.1.2.1']
28,Toán học lớp 9 - Bài 3 - Đồ thị hàm số y = ax + b - Luyện tập - YouTube,pXUiWnl8dX4&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=29,['1.9.1.1.2.1']
29,"Giới thiệu kênh THẦY QUANG với các khối lớp 6,7,8,9 - YouTube",cr5KFC8T310&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=30,[]
30,Toán học lớp 9 - Bài 4 - Đường thẳng song song và đường thẳng cắt nhau - YouTube,OLcY1tI0bCE&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=31,"['1.9.2.2.2.1', '1.9.2.2.2.2', '1.9.2.2.2.4']"
31,Toán học lớp 9 - Bài 4 - Đường thẳng song song và đường thẳng cắt nhau - Luyện tập 1 - YouTube,nlLnBgml4eg&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=32,"['1.9.2.2.1.1', '1.9.2.2.2.2', '1.9.2.2.2.4']"
32,Toán học lớp 9 - Bài 4 - Đường thẳng song song và đường thẳng cắt nhau - Luyện tập 2 - YouTube,78jxiAdh104&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=33,"['1.9.2.2.1.1', '1.9.2.2.2.2', '1.9.2.2.2.4']"
33,Toán học lớp 9 - Bài 5 - Hệ số góc của đường thẳng y = ax + b - Tiết 1 - YouTube,PeJXbHty-II&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=34,[]
34,Toán học lớp 9 - Bài 5 - Hệ số góc của đường thẳng y = ax + b - Tiết 2 - YouTube,TAcAeTFnwk0&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=35,[]
35,Toán học lớp 9 - Bài 5 - Hệ số góc của đường thẳng y = ax + b - Tiết 3 - YouTube,kFhqqKxRHVQ&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=36,[]
36,Toán học lớp 9 -Toán học lớp 9 - Ôn tập chương II - Đại số 9 - Tiết 1 - Đại số 9 - Tiết 1 - YouTube,cDqIkOe7nV0&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=37,[]
37,Toán học lớp 9 - Ôn tập chương 2 - Tiết 2 - YouTube,Clh2_HO2UJ0&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=38,[]
38,Toán học lớp 9 - Ôn tập chương 2  - Tiết 3 - YouTube,Jlt6_Nyx16I&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=39,[]
39,Toán học lớp 9 - Bài 1 - Phương trình bậc nhất hai ẩn - Tiết 1 - YouTube,jaqpJaXfSew&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=40,"['1.9.1.1.3.1', '1.9.1.1.3.2', '1.9.1.1.3.3', '1.9.1.1.4.1']"
40,Toán học lớp 9 - Bài 5 - Hệ số góc của đường thẳng y = ax + b ( a # 0 ) - Tiết 4 - YouTube,aEDH7lm0g4o&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=41,[]
41,Toán học lớp 9 - Bài 1 - Phương trình bậc nhất hai ẩn  - Tiết 2 - YouTube,tj-TXuMJwQA&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=42,"['1.9.1.1.3.1', '1.9.1.1.3.2', '1.9.1.1.3.3', '1.9.1.1.4.1']"
42,Toán học lớp 9 - Bài 2 - Hệ phương trình bậc nhất hai ẩn - Tiết 1 - YouTube,mnvpl5w7uE4&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=43,"['1.9.1.1.3.1', '1.9.1.1.3.2', '1.9.1.1.3.3', '1.9.1.1.4.1']"
43,Toán học lớp 9 - Bài 2 - Hệ hai phương trình bậc nhất hai ẩn  - Tiết 2 - YouTube,7XO7rawk1Ak&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=44,"['1.9.1.1.3.1', '1.9.1.1.3.2', '1.9.1.1.3.3', '1.9.1.1.4.1']"
44,Toán học lớp 9 - Bài 2 - Hệ hai phương trình bậc nhất hai ẩn - Tiết 3 - YouTube,pLDVELqTspQ&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=45,"['1.9.1.1.3.1', '1.9.1.1.3.2', '1.9.1.1.3.3', '1.9.1.1.4.1']"
45,Toán học lớp 9 - Bài 3 - Giải hệ phương trình bằng phương pháp thế - Tiết 1 - YouTube,UJgnMs1VmTU&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=46,"['1.9.1.1.3.1', '1.9.1.1.3.2', '1.9.3.1.2.1']"
46,Toán học lớp 9 - Bài 3 - Giải hệ phương trình bằng phương pháp thế - Tiết 2 - YouTube,3x47vRrjUVo&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=47,"['1.9.1.1.3.1', '1.9.1.1.3.2', '1.9.3.1.2.1']"
47,Toán học lớp 9 - Ôn tập học kì 1 - YouTube,1GxyrVjYCTI&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=48,[]
48,Toán học lớp 9 - Giải hệ phương trình bằng phương pháp thế - Tiết 3 - YouTube,276Pg8CzA5Q&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=49,"['1.9.1.1.3.1', '1.9.1.1.3.2']"
49,Toán học lớp 9 - Bài 3 - Giải hệ phương trình bằng phương pháp thế - Tiết 4 - YouTube,iUomxTn4IeY&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=50,"['1.9.1.1.3.1', '1.9.1.1.3.2', '1.9.3.1.2.1']"
50,Toán học lớp 9 - Bài 3 - Giải hệ phương trình bằng phương pháp thế - Tiết 5 - YouTube,2LOgvm84YtM&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=51,"['1.9.1.1.3.1', '1.9.1.1.3.2', '1.9.3.1.2.1']"
51,Toán học lớp 9 - Bài 4 - Giải hệ phương trình bằng phương pháp cộng đại số - Tiết 1 - YouTube,rDkYyhvcaSQ&list=PLCd8j6ZYo0lY8ZFrhrAyzCzuo5x9YIrAm&index=52,"['1.9.1.1.3.1', '1.9.1.1.3.2', '1.9.2.2.1.1', '1.9.3.1.2.1']"
